<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<INDEX>
SPFB.Si-3.18	5	20171221	100500	60120	60120	60082	60082	7	1
SPFB.Si-3.18	5	20171221	101000	59985	60048	59980	60041	11	2
SPFB.Si-3.18	5	20171221	102000	59945	59945	59866	59866	36	3
SPFB.Si-3.18	5	20171221	102500	59867	59881	59853	59881	149	4
SPFB.Si-3.18	5	20171221	103000	59940	59946	59922	59925	338	5
SPFB.Si-3.18	5	20171221	103500	59960	59969	59949	59969	37	6
SPFB.Si-3.18	5	20171221	104000	59971	59975	59970	59970	42	7
SPFB.Si-3.18	5	20171221	105000	59993	60000	59993	60000	5	8
SPFB.Si-3.18	5	20171221	111500	59968	59968	59966	59966	7	9
SPFB.Si-3.18	5	20171221	112000	59959	59959	59938	59938	27	10
SPFB.Si-3.18	5	20171221	112500	59935	59935	59902	59902	13	11
SPFB.Si-3.18	5	20171221	113000	59920	59944	59920	59944	13	12
SPFB.Si-3.18	5	20171221	113500	59963	59963	59963	59963	2	13
SPFB.Si-3.18	5	20171221	114000	59965	59965	59949	59949	45	14
SPFB.Si-3.18	5	20171221	114500	59957	59957	59956	59956	6	15
SPFB.Si-3.18	5	20171221	115000	59984	59984	59984	59984	2	16
SPFB.Si-3.18	5	20171221	115500	59980	59988	59969	59969	631	17
SPFB.Si-3.18	5	20171221	120500	59956	59956	59956	59956	6	18
SPFB.Si-3.18	5	20171221	121500	59986	59986	59985	59985	8	19
SPFB.Si-3.18	5	20171221	123000	59956	59975	59956	59975	4	20
SPFB.Si-3.18	5	20171221	124000	59956	59975	59956	59975	13	21
SPFB.Si-3.18	5	20171221	125000	59980	59980	59980	59980	12	22
SPFB.Si-3.18	5	20171221	130500	59940	59940	59940	59940	3	23
SPFB.Si-3.18	5	20171221	131000	59938	59939	59938	59939	6	24
SPFB.Si-3.18	5	20171221	132000	59920	59931	59913	59913	19	25
SPFB.Si-3.18	5	20171221	133500	59896	59896	59880	59880	2	26
SPFB.Si-3.18	5	20171221	134000	59890	59890	59878	59878	7	27
SPFB.Si-3.18	5	20171221	135000	59880	59884	59873	59884	17	28
SPFB.Si-3.18	5	20171221	140000	59880	59883	59880	59883	6	29
SPFB.Si-3.18	5	20171221	141000	59865	59865	59850	59859	331	30
SPFB.Si-3.18	5	20171221	141500	59858	59858	59854	59854	14	31
SPFB.Si-3.18	5	20171221	142000	59892	59900	59854	59871	53	32
SPFB.Si-3.18	5	20171221	142500	59905	59914	59894	59912	153	33
SPFB.Si-3.18	5	20171221	143000	59920	59920	59919	59919	5	34
SPFB.Si-3.18	5	20171221	143500	59897	59897	59897	59897	1	35
SPFB.Si-3.18	5	20171221	144000	59908	59920	59900	59900	67	36
SPFB.Si-3.18	5	20171221	145000	59921	59926	59921	59926	9	37
SPFB.Si-3.18	5	20171221	145500	59920	59920	59920	59920	1	38
SPFB.Si-3.18	5	20171221	150000	59915	59915	59895	59895	54	39
SPFB.Si-3.18	5	20171221	150500	59896	59896	59894	59894	6	40
SPFB.Si-3.18	5	20171221	151000	59907	59907	59880	59880	158	41
SPFB.Si-3.18	5	20171221	152000	59903	59903	59901	59901	33	42
SPFB.Si-3.18	5	20171221	152500	59905	59909	59899	59909	169	43
SPFB.Si-3.18	5	20171221	153000	59892	59892	59892	59892	3	44
SPFB.Si-3.18	5	20171221	154500	59882	59882	59859	59873	36	45
SPFB.Si-3.18	5	20171221	160000	59860	59860	59850	59850	16	46
SPFB.Si-3.18	5	20171221	160500	59875	59875	59875	59875	1	47
SPFB.Si-3.18	5	20171221	161000	59855	59862	59855	59862	6	48
SPFB.Si-3.18	5	20171221	162500	59860	59860	59860	59860	5	49
SPFB.Si-3.18	5	20171221	163000	59880	59880	59880	59880	3	50
SPFB.Si-3.18	5	20171221	164500	59846	59849	59846	59848	18	51
SPFB.Si-3.18	5	20171221	165000	59836	59836	59830	59834	155	52
SPFB.Si-3.18	5	20171221	165500	59825	59825	59825	59825	3	53
SPFB.Si-3.18	5	20171221	170500	59869	59869	59869	59869	41	54
SPFB.Si-3.18	5	20171221	171000	59876	59879	59876	59879	50	55
SPFB.Si-3.18	5	20171221	172000	59896	59896	59896	59896	1	56
SPFB.Si-3.18	5	20171221	172500	59874	59874	59779	59872	852	57
SPFB.Si-3.18	5	20171221	173000	59886	59886	59871	59871	4	58
SPFB.Si-3.18	5	20171221	173500	59885	59889	59885	59885	309	59
SPFB.Si-3.18	5	20171221	174000	59899	59910	59880	59880	336	60
SPFB.Si-3.18	5	20171221	175000	59873	59873	59855	59868	203	61
SPFB.Si-3.18	5	20171221	175500	59900	59901	59900	59901	2	62
