<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,5,20190116,000000,1.14129,1.14154,1.14117,1.14121,197
EURUSD,5,20190116,000500,1.14122,1.14124,1.14076,1.14088,168
EURUSD,5,20190116,001000,1.14088,1.14088,1.14077,1.14087,113
EURUSD,5,20190116,001500,1.14087,1.14106,1.14082,1.14106,119
EURUSD,5,20190116,002000,1.14106,1.14149,1.14101,1.14147,182
EURUSD,5,20190116,002500,1.14146,1.14151,1.14127,1.14128,131
EURUSD,5,20190116,003000,1.14128,1.14130,1.14113,1.14124,97
EURUSD,5,20190116,003500,1.14124,1.14133,1.14120,1.14124,162
EURUSD,5,20190116,004000,1.14124,1.14124,1.14097,1.14108,123
EURUSD,5,20190116,004500,1.14109,1.14109,1.14091,1.14103,144
EURUSD,5,20190116,005000,1.14104,1.14130,1.14101,1.14116,198
EURUSD,5,20190116,005500,1.14116,1.14123,1.14115,1.14122,170
EURUSD,5,20190116,010000,1.14120,1.14126,1.14100,1.14107,78
EURUSD,5,20190116,010500,1.14107,1.14107,1.14098,1.14099,71
EURUSD,5,20190116,011000,1.14100,1.14101,1.14097,1.14100,94
EURUSD,5,20190116,011500,1.14101,1.14101,1.14097,1.14101,69
EURUSD,5,20190116,012000,1.14100,1.14102,1.14096,1.14102,132
EURUSD,5,20190116,012500,1.14103,1.14103,1.14064,1.14071,162
EURUSD,5,20190116,013000,1.14067,1.14077,1.14049,1.14069,204
EURUSD,5,20190116,013500,1.14070,1.14070,1.14061,1.14067,63
EURUSD,5,20190116,014000,1.14067,1.14067,1.14061,1.14064,56
EURUSD,5,20190116,014500,1.14064,1.14067,1.14047,1.14047,90
EURUSD,5,20190116,015000,1.14047,1.14049,1.14034,1.14038,125
EURUSD,5,20190116,015500,1.14037,1.14058,1.14037,1.14053,110
EURUSD,5,20190116,020000,1.14052,1.14112,1.14052,1.14102,312
EURUSD,5,20190116,020500,1.14103,1.14103,1.14082,1.14082,73
EURUSD,5,20190116,021000,1.14081,1.14089,1.14073,1.14087,114
EURUSD,5,20190116,021500,1.14088,1.14106,1.14083,1.14104,135
EURUSD,5,20190116,022000,1.14104,1.14117,1.14101,1.14115,97
EURUSD,5,20190116,022500,1.14115,1.14122,1.14114,1.14119,56
EURUSD,5,20190116,023000,1.14118,1.14118,1.14100,1.14105,72
EURUSD,5,20190116,023500,1.14104,1.14112,1.14103,1.14106,50
EURUSD,5,20190116,024000,1.14105,1.14107,1.14100,1.14107,34
EURUSD,5,20190116,024500,1.14106,1.14124,1.14101,1.14121,59
EURUSD,5,20190116,025000,1.14124,1.14134,1.14122,1.14129,58
EURUSD,5,20190116,025500,1.14128,1.14141,1.14122,1.14137,108
EURUSD,5,20190116,030000,1.14136,1.14137,1.14052,1.14054,297
EURUSD,5,20190116,030500,1.14055,1.14092,1.14055,1.14091,199
EURUSD,5,20190116,031000,1.14092,1.14092,1.14082,1.14086,73
EURUSD,5,20190116,031500,1.14087,1.14091,1.14062,1.14066,120
EURUSD,5,20190116,032000,1.14066,1.14076,1.14062,1.14076,110
EURUSD,5,20190116,032500,1.14077,1.14077,1.14070,1.14075,51
EURUSD,5,20190116,033000,1.14076,1.14082,1.14065,1.14074,87
EURUSD,5,20190116,033500,1.14072,1.14085,1.14061,1.14076,129
EURUSD,5,20190116,034000,1.14075,1.14128,1.14075,1.14115,261
EURUSD,5,20190116,034500,1.14115,1.14115,1.14094,1.14097,93
EURUSD,5,20190116,035000,1.14096,1.14098,1.14072,1.14090,188
EURUSD,5,20190116,035500,1.14088,1.14108,1.14087,1.14100,154
EURUSD,5,20190116,040000,1.14101,1.14125,1.14092,1.14096,205
EURUSD,5,20190116,040500,1.14097,1.14098,1.14088,1.14091,133
EURUSD,5,20190116,041000,1.14092,1.14101,1.14071,1.14090,183
EURUSD,5,20190116,041500,1.14091,1.14092,1.14041,1.14047,249
EURUSD,5,20190116,042000,1.14048,1.14056,1.14023,1.14034,274
EURUSD,5,20190116,042500,1.14033,1.14036,1.14002,1.14007,272
EURUSD,5,20190116,043000,1.14007,1.14023,1.14000,1.14002,301
EURUSD,5,20190116,043500,1.14001,1.14023,1.13994,1.14022,209
EURUSD,5,20190116,044000,1.14023,1.14029,1.14012,1.14017,169
EURUSD,5,20190116,044500,1.14018,1.14022,1.14008,1.14017,145
EURUSD,5,20190116,045000,1.14018,1.14019,1.13980,1.13987,194
EURUSD,5,20190116,045500,1.13986,1.13989,1.13963,1.13978,225
EURUSD,5,20190116,050000,1.13977,1.13987,1.13963,1.13967,229
EURUSD,5,20190116,050500,1.13966,1.14008,1.13957,1.14005,162
EURUSD,5,20190116,051000,1.14008,1.14012,1.14004,1.14009,111
EURUSD,5,20190116,051500,1.14010,1.14020,1.13990,1.13990,146
EURUSD,5,20190116,052000,1.13989,1.14003,1.13980,1.13999,140
EURUSD,5,20190116,052500,1.14000,1.14026,1.13998,1.14009,204
EURUSD,5,20190116,053000,1.14009,1.14023,1.14009,1.14019,146
EURUSD,5,20190116,053500,1.14019,1.14024,1.13998,1.14007,140
EURUSD,5,20190116,054000,1.14006,1.14025,1.14004,1.14023,100
EURUSD,5,20190116,054500,1.14025,1.14026,1.14009,1.14010,117
EURUSD,5,20190116,055000,1.14011,1.14019,1.14010,1.14015,77
EURUSD,5,20190116,055500,1.14015,1.14029,1.14008,1.14008,152
EURUSD,5,20190116,060000,1.14005,1.14020,1.14004,1.14009,107
EURUSD,5,20190116,060500,1.14009,1.14009,1.13964,1.13974,197
EURUSD,5,20190116,061000,1.13974,1.13984,1.13963,1.13979,162
EURUSD,5,20190116,061500,1.13979,1.13990,1.13972,1.13985,134
EURUSD,5,20190116,062000,1.13986,1.13987,1.13964,1.13970,61
EURUSD,5,20190116,062500,1.13969,1.13995,1.13969,1.13990,113
EURUSD,5,20190116,063000,1.13990,1.14000,1.13981,1.13995,63
EURUSD,5,20190116,063500,1.13994,1.14006,1.13990,1.13995,69
EURUSD,5,20190116,064000,1.13995,1.14012,1.13990,1.14012,100
EURUSD,5,20190116,064500,1.14011,1.14015,1.14003,1.14014,126
EURUSD,5,20190116,065000,1.14014,1.14038,1.14003,1.14027,187
EURUSD,5,20190116,065500,1.14028,1.14034,1.14019,1.14027,111
EURUSD,5,20190116,070000,1.14026,1.14069,1.14020,1.14045,324
EURUSD,5,20190116,070500,1.14045,1.14052,1.14035,1.14041,133
EURUSD,5,20190116,071000,1.14040,1.14057,1.14037,1.14041,137
EURUSD,5,20190116,071500,1.14040,1.14059,1.14030,1.14057,110
EURUSD,5,20190116,072000,1.14057,1.14107,1.14052,1.14060,232
EURUSD,5,20190116,072500,1.14059,1.14062,1.14050,1.14061,136
EURUSD,5,20190116,073000,1.14060,1.14063,1.14039,1.14049,128
EURUSD,5,20190116,073500,1.14051,1.14059,1.14040,1.14056,122
EURUSD,5,20190116,074000,1.14055,1.14060,1.14036,1.14047,149
EURUSD,5,20190116,074500,1.14048,1.14071,1.14045,1.14071,137
EURUSD,5,20190116,075000,1.14071,1.14076,1.14057,1.14065,147
EURUSD,5,20190116,075500,1.14063,1.14101,1.14058,1.14098,253
EURUSD,5,20190116,080000,1.14101,1.14108,1.14081,1.14086,198
EURUSD,5,20190116,080500,1.14085,1.14093,1.14076,1.14083,181
EURUSD,5,20190116,081000,1.14082,1.14093,1.14082,1.14091,88
EURUSD,5,20190116,081500,1.14092,1.14096,1.14070,1.14075,99
EURUSD,5,20190116,082000,1.14075,1.14093,1.14075,1.14082,147
EURUSD,5,20190116,082500,1.14082,1.14119,1.14082,1.14105,176
EURUSD,5,20190116,083000,1.14106,1.14113,1.14095,1.14100,146
EURUSD,5,20190116,083500,1.14100,1.14101,1.14084,1.14085,146
EURUSD,5,20190116,084000,1.14083,1.14097,1.14080,1.14096,107
EURUSD,5,20190116,084500,1.14096,1.14145,1.14096,1.14127,256
EURUSD,5,20190116,085000,1.14128,1.14138,1.14111,1.14137,222
EURUSD,5,20190116,085500,1.14137,1.14148,1.14112,1.14113,283
EURUSD,5,20190116,090000,1.14111,1.14134,1.14109,1.14110,275
EURUSD,5,20190116,090500,1.14110,1.14116,1.14092,1.14102,183
EURUSD,5,20190116,091000,1.14102,1.14103,1.14065,1.14071,185
EURUSD,5,20190116,091500,1.14071,1.14106,1.14070,1.14091,160
EURUSD,5,20190116,092000,1.14092,1.14096,1.14075,1.14093,155
EURUSD,5,20190116,092500,1.14094,1.14095,1.14060,1.14062,290
EURUSD,5,20190116,093000,1.14062,1.14062,1.14039,1.14051,188
EURUSD,5,20190116,093500,1.14051,1.14064,1.14023,1.14031,189
EURUSD,5,20190116,094000,1.14031,1.14037,1.14016,1.14027,139
EURUSD,5,20190116,094500,1.14036,1.14048,1.14007,1.14043,161
EURUSD,5,20190116,095000,1.14042,1.14049,1.14014,1.14015,262
EURUSD,5,20190116,095500,1.14016,1.14016,1.13964,1.13975,298
EURUSD,5,20190116,100000,1.13973,1.14032,1.13965,1.14007,370
EURUSD,5,20190116,100500,1.14004,1.14060,1.14002,1.14049,386
EURUSD,5,20190116,101000,1.14050,1.14074,1.14029,1.14050,288
EURUSD,5,20190116,101500,1.14050,1.14105,1.14050,1.14064,406
EURUSD,5,20190116,102000,1.14062,1.14081,1.14028,1.14077,258
EURUSD,5,20190116,102500,1.14078,1.14094,1.14035,1.14057,491
EURUSD,5,20190116,103000,1.14059,1.14062,1.13987,1.13994,509
EURUSD,5,20190116,103500,1.13993,1.14003,1.13911,1.13940,629
EURUSD,5,20190116,104000,1.13941,1.13956,1.13912,1.13928,481
EURUSD,5,20190116,104500,1.13927,1.13983,1.13912,1.13975,496
EURUSD,5,20190116,105000,1.13974,1.13984,1.13959,1.13975,269
EURUSD,5,20190116,105500,1.13975,1.13979,1.13911,1.13935,565
EURUSD,5,20190116,110000,1.13934,1.14081,1.13928,1.14024,1131
EURUSD,5,20190116,110500,1.14023,1.14041,1.13977,1.13994,732
EURUSD,5,20190116,111000,1.13994,1.14009,1.13954,1.14004,537
EURUSD,5,20190116,111500,1.14004,1.14110,1.13997,1.14081,684
EURUSD,5,20190116,112000,1.14078,1.14107,1.14054,1.14105,604
EURUSD,5,20190116,112500,1.14108,1.14155,1.14099,1.14152,620
EURUSD,5,20190116,113000,1.14151,1.14161,1.14111,1.14134,495
EURUSD,5,20190116,113500,1.14132,1.14148,1.14108,1.14130,396
EURUSD,5,20190116,114000,1.14136,1.14136,1.14094,1.14124,469
EURUSD,5,20190116,114500,1.14123,1.14126,1.14102,1.14125,318
EURUSD,5,20190116,115000,1.14125,1.14138,1.14111,1.14111,307
EURUSD,5,20190116,115500,1.14111,1.14212,1.14102,1.14211,652
EURUSD,5,20190116,120000,1.14216,1.14245,1.14176,1.14239,689
EURUSD,5,20190116,120500,1.14239,1.14240,1.14195,1.14210,523
EURUSD,5,20190116,121000,1.14211,1.14224,1.14186,1.14193,396
EURUSD,5,20190116,121500,1.14194,1.14203,1.14159,1.14167,429
EURUSD,5,20190116,122000,1.14167,1.14192,1.14158,1.14184,382
EURUSD,5,20190116,122500,1.14184,1.14205,1.14161,1.14191,326
EURUSD,5,20190116,123000,1.14189,1.14208,1.14178,1.14183,450
EURUSD,5,20190116,123500,1.14184,1.14198,1.14137,1.14144,505
EURUSD,5,20190116,124000,1.14144,1.14153,1.14126,1.14137,387
EURUSD,5,20190116,124500,1.14134,1.14153,1.14120,1.14137,348
EURUSD,5,20190116,125000,1.14138,1.14143,1.14089,1.14104,422
EURUSD,5,20190116,125500,1.14104,1.14119,1.14083,1.14100,588
EURUSD,5,20190116,130000,1.14102,1.14103,1.14081,1.14092,424
EURUSD,5,20190116,130500,1.14093,1.14111,1.14077,1.14081,302
EURUSD,5,20190116,131000,1.14082,1.14084,1.14071,1.14076,236
EURUSD,5,20190116,131500,1.14079,1.14102,1.14072,1.14079,210
EURUSD,5,20190116,132000,1.14079,1.14090,1.14067,1.14071,288
EURUSD,5,20190116,132500,1.14073,1.14110,1.14073,1.14098,323
EURUSD,5,20190116,133000,1.14100,1.14107,1.14057,1.14069,353
EURUSD,5,20190116,133500,1.14068,1.14072,1.14017,1.14051,417
EURUSD,5,20190116,134000,1.14050,1.14063,1.14036,1.14045,448
EURUSD,5,20190116,134500,1.14044,1.14061,1.14026,1.14030,268
EURUSD,5,20190116,135000,1.14030,1.14045,1.14021,1.14030,341
EURUSD,5,20190116,135500,1.14031,1.14040,1.13990,1.13995,439
EURUSD,5,20190116,140000,1.13994,1.14002,1.13946,1.13994,558
EURUSD,5,20190116,140500,1.13997,1.14016,1.13955,1.13992,457
EURUSD,5,20190116,141000,1.13990,1.14004,1.13962,1.13974,436
EURUSD,5,20190116,141500,1.13973,1.13975,1.13929,1.13936,453
EURUSD,5,20190116,142000,1.13932,1.13970,1.13930,1.13937,403
EURUSD,5,20190116,142500,1.13938,1.13969,1.13936,1.13945,349
EURUSD,5,20190116,143000,1.13942,1.13942,1.13860,1.13865,563
EURUSD,5,20190116,143500,1.13864,1.13895,1.13860,1.13872,450
EURUSD,5,20190116,144000,1.13873,1.13883,1.13832,1.13835,366
EURUSD,5,20190116,144500,1.13836,1.13851,1.13774,1.13779,557
EURUSD,5,20190116,145000,1.13781,1.13827,1.13775,1.13826,461
EURUSD,5,20190116,145500,1.13826,1.13826,1.13777,1.13778,382
EURUSD,5,20190116,150000,1.13777,1.13820,1.13775,1.13797,446
EURUSD,5,20190116,150500,1.13796,1.13832,1.13795,1.13825,419
EURUSD,5,20190116,151000,1.13825,1.13857,1.13820,1.13839,441
