Дата 	Курс промежуточного клиринга (на 13:45) 	Курс основногоклиринга (на 18:30)
25.01.2019 	66,1022 	66,0398
24.01.2019 	65,8363 	65,7657
23.01.2019 	66,2004 	66,2217
22.01.2019 	66,5301 	66,4933
21.01.2019 	66,3988 	66,3843
18.01.2019 	66,3915 	66,2416
17.01.2019 	66,538 	66,5886
16.01.2019 	66,7347 	66,4782
15.01.2019 	67,1384 	67,0023
14.01.2019 	67,2482 	67,0483
11.01.2019 	66,9239 	67,0923
10.01.2019 	67,0161 	67,1696
09.01.2019 	67,0542 	66,9057
08.01.2019 	67,0482 	66,9909
04.01.2019 	68,1335 	67,8181
03.01.2019 	69,1464 	68,862
29.12.2018 	69,636 	69,9323
28.12.2018 	69,3686 	69,619
27.12.2018 	69,297 	69,4292
26.12.2018 	69,2738 	69,0547
25.12.2018 	68,7956 	68,7868
24.12.2018 	68,4272 	68,2823
21.12.2018 	68,3727 	68,5663
20.12.2018 	67,3524 	67,9983
19.12.2018 	67,2082 	67,5934
18.12.2018 	66,82 	66,8698
17.12.2018 	66,5146 	66,7351
14.12.2018 	66,3518 	66,7662
13.12.2018 	66,3737 	66,3238
12.12.2018 	66,4345 	66,3002
11.12.2018 	66,4093 	66,4211
10.12.2018 	66,4527 	66,4573


https://www.moex.com/ru/derivatives/currency-rate.aspx?currency=USD_RUB
