<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Eu-3.19,5,20190116,100500,77484.0000000,77484.0000000,77345.0000000,77376.0000000,893
SPFB.Eu-3.19,5,20190116,101000,77369.0000000,77406.0000000,77257.0000000,77341.0000000,2038
SPFB.Eu-3.19,5,20190116,101500,77338.0000000,77359.0000000,77308.0000000,77308.0000000,949
SPFB.Eu-3.19,5,20190116,102000,77313.0000000,77315.0000000,77184.0000000,77214.0000000,3327
SPFB.Eu-3.19,5,20190116,102500,77210.0000000,77249.0000000,77203.0000000,77243.0000000,1339
SPFB.Eu-3.19,5,20190116,103000,77235.0000000,77259.0000000,77218.0000000,77222.0000000,498
SPFB.Eu-3.19,5,20190116,103500,77225.0000000,77228.0000000,77202.0000000,77210.0000000,440
SPFB.Eu-3.19,5,20190116,104000,77213.0000000,77225.0000000,77187.0000000,77200.0000000,812
SPFB.Eu-3.19,5,20190116,104500,77196.0000000,77204.0000000,77130.0000000,77153.0000000,529
SPFB.Eu-3.19,5,20190116,105000,77159.0000000,77207.0000000,77150.0000000,77195.0000000,269
SPFB.Eu-3.19,5,20190116,105500,77187.0000000,77211.0000000,77179.0000000,77209.0000000,683
SPFB.Eu-3.19,5,20190116,110000,77200.0000000,77209.0000000,77126.0000000,77145.0000000,504
SPFB.Eu-3.19,5,20190116,110500,77136.0000000,77206.0000000,77114.0000000,77189.0000000,1434
SPFB.Eu-3.19,5,20190116,111000,77189.0000000,77199.0000000,77077.0000000,77101.0000000,1076
SPFB.Eu-3.19,5,20190116,111500,77104.0000000,77104.0000000,77050.0000000,77083.0000000,919
SPFB.Eu-3.19,5,20190116,112000,77079.0000000,77169.0000000,77069.0000000,77144.0000000,728
SPFB.Eu-3.19,5,20190116,112500,77132.0000000,77167.0000000,77111.0000000,77160.0000000,1082
SPFB.Eu-3.19,5,20190116,113000,77152.0000000,77164.0000000,77140.0000000,77161.0000000,219
SPFB.Eu-3.19,5,20190116,113500,77159.0000000,77164.0000000,77117.0000000,77145.0000000,547
SPFB.Eu-3.19,5,20190116,114000,77134.0000000,77163.0000000,77111.0000000,77111.0000000,421
SPFB.Eu-3.19,5,20190116,114500,77119.0000000,77123.0000000,77081.0000000,77088.0000000,833
SPFB.Eu-3.19,5,20190116,115000,77086.0000000,77137.0000000,77070.0000000,77135.0000000,690
SPFB.Eu-3.19,5,20190116,115500,77126.0000000,77151.0000000,77126.0000000,77140.0000000,261
SPFB.Eu-3.19,5,20190116,120000,77138.0000000,77177.0000000,77136.0000000,77169.0000000,241
SPFB.Eu-3.19,5,20190116,120500,77163.0000000,77185.0000000,77151.0000000,77178.0000000,292
SPFB.Eu-3.19,5,20190116,121000,77185.0000000,77195.0000000,77164.0000000,77190.0000000,343
SPFB.Eu-3.19,5,20190116,121500,77187.0000000,77229.0000000,77183.0000000,77212.0000000,451
SPFB.Eu-3.19,5,20190116,122000,77212.0000000,77227.0000000,77191.0000000,77208.0000000,764
SPFB.Eu-3.19,5,20190116,122500,77200.0000000,77208.0000000,77173.0000000,77207.0000000,113
SPFB.Eu-3.19,5,20190116,123000,77204.0000000,77204.0000000,77177.0000000,77186.0000000,235
SPFB.Eu-3.19,5,20190116,123500,77182.0000000,77216.0000000,77176.0000000,77210.0000000,273
