<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-3.19,5,20190116,100500,67538.0000000,67571.0000000,67468.0000000,67514.0000000,23454
SPFB.Si-3.19,5,20190116,101000,67509.0000000,67520.0000000,67394.0000000,67464.0000000,41849
SPFB.Si-3.19,5,20190116,101500,67465.0000000,67466.0000000,67422.0000000,67434.0000000,20261
SPFB.Si-3.19,5,20190116,102000,67432.0000000,67432.0000000,67302.0000000,67335.0000000,116816
SPFB.Si-3.19,5,20190116,102500,67336.0000000,67382.0000000,67323.0000000,67351.0000000,37944
SPFB.Si-3.19,5,20190116,103000,67351.0000000,67376.0000000,67341.0000000,67348.0000000,13560
SPFB.Si-3.19,5,20190116,103500,67345.0000000,67380.0000000,67343.0000000,67378.0000000,10449
SPFB.Si-3.19,5,20190116,104000,67380.0000000,67415.0000000,67373.0000000,67395.0000000,11175
SPFB.Si-3.19,5,20190116,104500,67397.0000000,67400.0000000,67345.0000000,67367.0000000,13619
SPFB.Si-3.19,5,20190116,105000,67369.0000000,67382.0000000,67348.0000000,67364.0000000,6820
SPFB.Si-3.19,5,20190116,105500,67364.0000000,67382.0000000,67362.0000000,67371.0000000,7700
SPFB.Si-3.19,5,20190116,110000,67370.0000000,67372.0000000,67345.0000000,67349.0000000,9394
SPFB.Si-3.19,5,20190116,110500,67349.0000000,67350.0000000,67306.0000000,67341.0000000,30446
SPFB.Si-3.19,5,20190116,111000,67339.0000000,67355.0000000,67254.0000000,67276.0000000,59380
SPFB.Si-3.19,5,20190116,111500,67276.0000000,67281.0000000,67240.0000000,67261.0000000,37195
SPFB.Si-3.19,5,20190116,112000,67262.0000000,67307.0000000,67224.0000000,67268.0000000,32198
SPFB.Si-3.19,5,20190116,112500,67269.0000000,67283.0000000,67243.0000000,67280.0000000,18687
SPFB.Si-3.19,5,20190116,113000,67279.0000000,67282.0000000,67242.0000000,67250.0000000,13776
SPFB.Si-3.19,5,20190116,113500,67251.0000000,67266.0000000,67208.0000000,67236.0000000,25671
SPFB.Si-3.19,5,20190116,114000,67239.0000000,67265.0000000,67219.0000000,67221.0000000,11996
SPFB.Si-3.19,5,20190116,114500,67221.0000000,67245.0000000,67201.0000000,67203.0000000,13600
SPFB.Si-3.19,5,20190116,115000,67202.0000000,67253.0000000,67184.0000000,67237.0000000,25766
SPFB.Si-3.19,5,20190116,115500,67237.0000000,67256.0000000,67227.0000000,67245.0000000,8703
SPFB.Si-3.19,5,20190116,120000,67245.0000000,67261.0000000,67219.0000000,67219.0000000,8482
SPFB.Si-3.19,5,20190116,120500,67219.0000000,67258.0000000,67212.0000000,67225.0000000,8729
SPFB.Si-3.19,5,20190116,121000,67224.0000000,67257.0000000,67217.0000000,67244.0000000,7146
SPFB.Si-3.19,5,20190116,121500,67244.0000000,67279.0000000,67238.0000000,67274.0000000,8896
SPFB.Si-3.19,5,20190116,122000,67273.0000000,67285.0000000,67253.0000000,67267.0000000,12354
SPFB.Si-3.19,5,20190116,122500,67268.0000000,67275.0000000,67247.0000000,67261.0000000,5771
SPFB.Si-3.19,5,20190116,123000,67261.0000000,67275.0000000,67240.0000000,67245.0000000,10062
SPFB.Si-3.19,5,20190116,123500,67246.0000000,67278.0000000,67239.0000000,67275.0000000,6226
SPFB.Si-3.19,5,20190116,124000,67276.0000000,67304.0000000,67266.0000000,67283.0000000,11126
SPFB.Si-3.19,5,20190116,124500,67286.0000000,67294.0000000,67269.0000000,67271.0000000,4613
SPFB.Si-3.19,5,20190116,125000,67270.0000000,67296.0000000,67262.0000000,67286.0000000,6418
SPFB.Si-3.19,5,20190116,125500,67286.0000000,67319.0000000,67272.0000000,67302.0000000,7921
SPFB.Si-3.19,5,20190116,130000,67301.0000000,67341.0000000,67291.0000000,67310.0000000,10161
SPFB.Si-3.19,5,20190116,130500,67311.0000000,67339.0000000,67306.0000000,67333.0000000,9050
SPFB.Si-3.19,5,20190116,131000,67333.0000000,67342.0000000,67314.0000000,67319.0000000,5616
SPFB.Si-3.19,5,20190116,131500,67321.0000000,67321.0000000,67284.0000000,67285.0000000,9274
SPFB.Si-3.19,5,20190116,132000,67286.0000000,67297.0000000,67273.0000000,67293.0000000,5661
SPFB.Si-3.19,5,20190116,132500,67291.0000000,67326.0000000,67281.0000000,67321.0000000,8743
SPFB.Si-3.19,5,20190116,133000,67322.0000000,67328.0000000,67305.0000000,67311.0000000,6262
SPFB.Si-3.19,5,20190116,133500,67311.0000000,67322.0000000,67290.0000000,67307.0000000,6424
SPFB.Si-3.19,5,20190116,134000,67307.0000000,67326.0000000,67302.0000000,67316.0000000,3752
SPFB.Si-3.19,5,20190116,134500,67316.0000000,67319.0000000,67293.0000000,67298.0000000,2877
SPFB.Si-3.19,5,20190116,135000,67297.0000000,67327.0000000,67295.0000000,67319.0000000,4993
SPFB.Si-3.19,5,20190116,135500,67321.0000000,67336.0000000,67317.0000000,67329.0000000,3869
SPFB.Si-3.19,5,20190116,140000,67330.0000000,67361.0000000,67316.0000000,67348.0000000,8734
SPFB.Si-3.19,5,20190116,141000,67348.0000000,67374.0000000,67329.0000000,67366.0000000,15307
SPFB.Si-3.19,5,20190116,141500,67363.0000000,67382.0000000,67354.0000000,67375.0000000,5594
SPFB.Si-3.19,5,20190116,142000,67376.0000000,67385.0000000,67364.0000000,67376.0000000,16734
SPFB.Si-3.19,5,20190116,142500,67376.0000000,67380.0000000,67333.0000000,67351.0000000,13220
SPFB.Si-3.19,5,20190116,143000,67353.0000000,67363.0000000,67323.0000000,67324.0000000,5589
SPFB.Si-3.19,5,20190116,143500,67323.0000000,67358.0000000,67322.0000000,67348.0000000,5993
SPFB.Si-3.19,5,20190116,144000,67351.0000000,67357.0000000,67342.0000000,67343.0000000,3160
SPFB.Si-3.19,5,20190116,144500,67342.0000000,67347.0000000,67328.0000000,67343.0000000,3132
SPFB.Si-3.19,5,20190116,145000,67340.0000000,67349.0000000,67325.0000000,67334.0000000,5159
SPFB.Si-3.19,5,20190116,145500,67332.0000000,67350.0000000,67328.0000000,67339.0000000,6514
SPFB.Si-3.19,5,20190116,150000,67338.0000000,67361.0000000,67338.0000000,67349.0000000,9637
SPFB.Si-3.19,5,20190116,150500,67350.0000000,67355.0000000,67333.0000000,67344.0000000,4375
SPFB.Si-3.19,5,20190116,151000,67344.0000000,67353.0000000,67339.0000000,67345.0000000,3589
SPFB.Si-3.19,5,20190116,151500,67346.0000000,67352.0000000,67341.0000000,67347.0000000,2980
SPFB.Si-3.19,5,20190116,152000,67345.0000000,67355.0000000,67327.0000000,67331.0000000,3312
SPFB.Si-3.19,5,20190116,152500,67330.0000000,67340.0000000,67295.0000000,67303.0000000,9099
SPFB.Si-3.19,5,20190116,153000,67303.0000000,67311.0000000,67288.0000000,67294.0000000,6333
SPFB.Si-3.19,5,20190116,153500,67294.0000000,67298.0000000,67262.0000000,67276.0000000,10657
SPFB.Si-3.19,5,20190116,154000,67275.0000000,67280.0000000,67253.0000000,67273.0000000,8047
SPFB.Si-3.19,5,20190116,154500,67274.0000000,67278.0000000,67244.0000000,67265.0000000,13144
SPFB.Si-3.19,5,20190116,155000,67265.0000000,67280.0000000,67244.0000000,67257.0000000,11327
SPFB.Si-3.19,5,20190116,155500,67255.0000000,67273.0000000,67246.0000000,67268.0000000,4648
SPFB.Si-3.19,5,20190116,160000,67267.0000000,67295.0000000,67262.0000000,67281.0000000,7533
SPFB.Si-3.19,5,20190116,160500,67280.0000000,67299.0000000,67267.0000000,67285.0000000,5697
SPFB.Si-3.19,5,20190116,161000,67285.0000000,67294.0000000,67260.0000000,67271.0000000,6099
SPFB.Si-3.19,5,20190116,161500,67269.0000000,67274.0000000,67224.0000000,67235.0000000,11578
SPFB.Si-3.19,5,20190116,162000,67237.0000000,67259.0000000,67208.0000000,67253.0000000,10089
SPFB.Si-3.19,5,20190116,162500,67253.0000000,67262.0000000,67245.0000000,67251.0000000,2777
SPFB.Si-3.19,5,20190116,163000,67253.0000000,67278.0000000,67241.0000000,67277.0000000,6681
SPFB.Si-3.19,5,20190116,163500,67277.0000000,67281.0000000,67266.0000000,67266.0000000,4693
SPFB.Si-3.19,5,20190116,164000,67268.0000000,67279.0000000,67257.0000000,67262.0000000,3938
SPFB.Si-3.19,5,20190116,164500,67264.0000000,67273.0000000,67243.0000000,67250.0000000,3642
SPFB.Si-3.19,5,20190116,165000,67249.0000000,67256.0000000,67205.0000000,67215.0000000,5473
SPFB.Si-3.19,5,20190116,165500,67214.0000000,67238.0000000,67209.0000000,67211.0000000,5092
SPFB.Si-3.19,5,20190116,170000,67212.0000000,67218.0000000,67160.0000000,67165.0000000,37869
SPFB.Si-3.19,5,20190116,170500,67165.0000000,67180.0000000,67114.0000000,67129.0000000,40320
SPFB.Si-3.19,5,20190116,171000,67128.0000000,67155.0000000,67102.0000000,67126.0000000,19365
SPFB.Si-3.19,5,20190116,171500,67127.0000000,67138.0000000,67103.0000000,67121.0000000,7715
SPFB.Si-3.19,5,20190116,172000,67119.0000000,67126.0000000,67068.0000000,67070.0000000,29023
SPFB.Si-3.19,5,20190116,172500,67070.0000000,67130.0000000,67057.0000000,67121.0000000,21373
SPFB.Si-3.19,5,20190116,173000,67124.0000000,67158.0000000,67111.0000000,67114.0000000,11272
SPFB.Si-3.19,5,20190116,173500,67112.0000000,67121.0000000,67094.0000000,67103.0000000,10327
SPFB.Si-3.19,5,20190116,174000,67104.0000000,67114.0000000,67050.0000000,67054.0000000,12425
SPFB.Si-3.19,5,20190116,174500,67054.0000000,67080.0000000,67037.0000000,67043.0000000,14905
SPFB.Si-3.19,5,20190116,175000,67042.0000000,67049.0000000,66984.0000000,66998.0000000,26481
SPFB.Si-3.19,5,20190116,175500,66995.0000000,67045.0000000,66979.0000000,67045.0000000,24722
SPFB.Si-3.19,5,20190116,180000,67043.0000000,67064.0000000,67032.0000000,67045.0000000,8221
SPFB.Si-3.19,5,20190116,180500,67047.0000000,67051.0000000,67014.0000000,67030.0000000,8479
SPFB.Si-3.19,5,20190116,181000,67028.0000000,67044.0000000,67013.0000000,67041.0000000,5289
SPFB.Si-3.19,5,20190116,181500,67042.0000000,67046.0000000,67005.0000000,67031.0000000,4978
SPFB.Si-3.19,5,20190116,182000,67033.0000000,67062.0000000,67018.0000000,67059.0000000,5631
SPFB.Si-3.19,5,20190116,182500,67059.0000000,67085.0000000,67057.0000000,67074.0000000,8553
SPFB.Si-3.19,5,20190116,183000,67076.0000000,67081.0000000,67033.0000000,67040.0000000,4516
