<DATE>,<TIME>,<USDRUR>
20181211,183000,66.3915
20181212,183000,66.7347
20181213,183000,67.2482
20181214,183000,67.0161
20181217,183000,67.0482
20181218,183000,69.1464
20181219,183000,69.3686
20181220,183000,69.2738
20181221,183000,68.4272
20181224,183000,67.3524
20181225,183000,66.82
20181226,183000,66.3518
20181227,183000,66.4345
20181228,183000,66.4527
20181229,183000,65.7657
20190103,183000,66.4933
20190104,183000,66.2416
20190108,183000,66.4782
20190109,183000,67.0483
20190110,183000,67.1696
20190111,183000,66.9909
20190114,183000,68.862
20190115,183000,69.619
20190116,183000,69.0547
20190117,183000,68.2823
20190118,183000,67.9983
20190121,183000,66.8698
20190122,183000,66.7662
20190123,183000,66.3002
20190124,183000,66.4573
20190125,183000,66.1591
20190128,183000,66.0531
20190129,183000,66.0758
20190130,183000,65.3879
